profile,dataset,suite_id,objects_per_query,instances,queries,k,partitions,baseline_ms,aes_only_ms,dscp_only_ms,full_ms,aes_only_reduction,dscp_only_reduction,full_reduction,emission_reduction,shuffle_reduction,baseline_filtered,full_filtered,baseline_emissions,full_emissions,baseline_shuffle,full_shuffle,validation_performed
smartphone,Synthetic smartphone,iccit-smartphone-str-20260527T073310Z,750,207860,20,10,8,41800,37050,43303,36527,11.363636363636363,-3.5956937799043063,12.614832535885167,74.68322540650657,32.26753235513601,0.0,3.053,6358938,1609878,151550746,102649060,False
road,Bangladesh OSM road,iccit-road-full-20q-20260527T094500Z,98451,787342,20,10,8,917176,519036,603290,379637,43.40933474055143,34.22309349568676,58.608053416138226,98.85876525492651,49.76142778022095,97.93549999999999,98.8825,123247562,1406544,3230578777,1622996652,False
